ID stanice;Názov;GPSlat;GPSlon
80;29. Augusta;48.1467946650;17.1221965440
90;Antolská;48.0992470000;17.1148510000
61;Bajkalská;48.1539700000;17.1473500000
42;Bajzova / Prešovská;48.1584900000;17.1397200000
23;Betliarska / Jantárova cesta;48.0993600000;17.1093700000
70;Blumentál / Americké nám.;48.1513600000;17.1189000000
62;Botanická;48.1480700000;17.0660100000
63;Bratská;48.1108100000;17.1002000000
20;Budatínska / Šintavská;48.1068300000;17.0985200000
64;Dolnozemská;48.1161400000;17.1322900000
43;Dulovo námestie;48.1499600000;17.1339600000
88;Dunajská;48.1455070000;17.1185400000
75;FTVŠ - Nábr. Arm. Gen. Ludvíka Svobodu;48.1447340000;17.0787690000
16;Furdekova / Šustekova;48.1262500000;17.1236100000
32;Gettingova / Mamateyova;48.1241600000;17.1294200000
27;Hállova;48.1224400000;17.1068900000
4;Hodžovo námestie;48.1486500000;17.1081000000
77;Hurbanovo námestie;48.1461178460;17.1074034130
26;Jantárová cesta;48.1270000000;17.1159700000
78;Kapucínska - Župné námestie;48.1456723950;17.1059577020
3;Kollárovo námestie;48.1493500000;17.1135000000
69;Korytnická Podunajské Biskupice;48.1316200000;17.2086200000
40;Križovatka Trnavská / Bajkalská;48.1619700000;17.1417400000
18;Lachova / Furdekova - zástavka MHD;48.1242900000;17.1200600000
81;Landererova/Dostojevského rad;48.1433304440;17.1224463780
10;Legionárska / Krížna;48.1557100000;17.1244200000
44;Mierová - miestny úrad Ružinov;48.1492500000;17.1640400000
45;Miletièova / Trenèianska;48.1511300000;17.1389600000
46;Miletièova / Záhradnícka;48.1544300000;17.1344600000
38;Mlynské nivy - východ;48.1445500000;17.1422300000
13;Most SNP;48.1399340000;17.1044600000
6;Mýtna - Slovenský rozhlas;48.1532200000;17.1141340000
85;Námestie ¼. Štúra;48.1397913080;17.1093725370
79;Námestie slobody;48.1514468910;17.1118509740
86;Námestie SNP;48.1456020000;17.1106140000
89;Nobelovo námestie;48.1297270000;17.0996550000
33;Osuského / Hrobákova;48.1189200000;17.1154300000
24;Ovsište / námestie;48.1199500000;17.1306000000
8;Pribinova;48.1405400000;17.1251100000
47;Prievozská / Bajkalská;48.1487200000;17.1473000000
37;Prievozská / Miletièova;48.1474800000;17.1415800000
68;Prievozská Nivy;48.1454600000;17.1355500000
67;Prístavná Nivy;48.1422700000;17.1345100000
72;Promenáda PKO;48.1422756000;17.0847479400
71;Promenáda Riverpark;48.1405182200;17.0932488600
52;Raèianske Mýto;48.1579900000;17.1193700000
31;Romanova / Kutlíkova;48.1108900000;17.1123540000
14;Romanova ulica;48.1172100000;17.1083000000
48;Ružinovská - Štrkovec;48.1567000000;17.1499600000
39;Ružinovská koniec - zast. Astronomická;48.1587300000;17.1765400000
83;Ružinovská/Herlianska;48.1573327230;17.1563418050
35;Sabinovská / Drieòová;48.1601600000;17.1493300000
91;Sad Janka Krá¾a;48.1335820000;17.1086300000
87;Šafárikovo námestie;48.1418564870;17.1156368930
82;Šancová/Štefanovièova;48.1551974890;17.1083848800
29;Ševèenkova;48.1202400000;17.1019000000
22;Šintavská / Jantárova cesta;48.1063900000;17.1077500000
73;Slovnaft hlavný vchod;48.1285380000;17.1765060000
28;Starohájska / Dudova;48.1165200000;17.1210200000
15;Starohájska / Osuského;48.1196400000;17.1176900000
49;Súmraèná - Astronomická / Tomášikova;48.1581900000;17.1682300000
74;Tomášikova;48.1644055000;17.1517369000
60;Tomášikova / Trnavská;48.1651200000;17.1493600000
51;Trenèianska / Priemyselná;48.1535200000;17.1443300000
50;Trnavská cesta / Max. Hella;48.1649100000;17.1624000000
58;Trnavské mýto;48.1577800000;17.1269500000
93;Tyršovo nábrežie (doèasná);48.1369380000;17.1098590000
92;Ursínyho;48.1622240000;17.1251560000
57;Vajnorská / Jarošova;48.1656900000;17.1357800000
56;Vajnorská / Tehelná;48.1623700000;17.1319300000
76;Viedenská - pod mostom SNP;48.1369330000;17.1050940000
66;Viedenská cesta Petržalka;48.1310740000;17.0956250000
11;Záhradnícka - Justièný palác;48.1522740000;17.1217970000
12;Záhradnícka / Karadžièova - križovatka;48.1538200000;17.1252400000
41;Záhradnícka / Svätoplukova;48.1542300000;17.1290500000
54;Zimný Štadión;48.1601280000;17.1347430000
